data,id,command
2023-09-09-12-23,644440906,/view stat
2023-09-09-12-24,644440906,/view_stat
2023-09-09-12-24,644440906,/view_stat
2023-09-09-12-24,606845078,/start
2023-09-09-12-25,111387659,/start
2023-09-09-12-25,644440906,/view_stat
2023-09-09-12-25,606845078,"В меню можете выбрать то, что вас интересует"
2023-09-09-12-25,644440906,ℹ️ Информация о фестивале
2023-09-09-12-26,644440906,💚Художники
2023-09-09-12-26,606845078,Показать все локации
2023-09-09-12-26,644440906,Broken Composers
2023-09-09-12-26,644440906,Вернуться в главное меню
2023-09-09-12-26,644440906,ℹ️ Информация о фестивале
2023-09-09-12-26,644440906,/view_stat
2023-09-09-12-26,606845078,"В меню можете выбрать то, что вас интересует"
2023-09-09-12-26,606845078,"В меню можете выбрать то, что вас интересует"
2023-09-09-12-26,644440906,/view_stat
2023-09-09-12-26,477780818,"В меню можете выбрать то, что вас интересует"
2023-09-09-12-26,1008093317,⚡️Купить билеты
2023-09-09-12-26,644440906,/view_stat
2023-09-09-12-26,1008093317,ℹ️ Информация о фестивале
2023-09-09-12-26,1008093317,📍Локации фестиваля
2023-09-09-12-26,1008093317,Открытие фестиваля
2023-09-09-12-26,644440906,/view_stat
2023-09-09-12-38,644440906,Бесплатные локации
2023-09-09-12-38,644440906,/view_stat
2023-09-09-12-39,644440906,Где купить мерч
2023-09-09-12-39,644440906,Образовательная программа
2023-09-09-12-39,644440906,Вернуться в главное меню
2023-09-09-12-39,644440906,💚Художники
2023-09-09-12-39,644440906,Вернуться в главное меню
2023-09-09-12-39,644440906,❓F.A.Q.
2023-09-09-12-39,177239383,/start
2023-09-09-12-39,177239383,"В меню можете выбрать то, что вас интересует"
2023-09-09-12-39,644440906,📍Локации фестиваля
2023-09-09-12-39,644440906,Вернуться в главное меню
2023-09-09-12-39,644440906,⚡️Купить билеты
2023-09-09-12-39,644440906,❓F.A.Q.
2023-09-09-12-39,644440906,📍Локации фестиваля
2023-09-09-12-39,644440906,Список локаций в 2ГИС
2023-09-09-12-40,177239383,"В меню можете выбрать то, что вас интересует"
2023-09-09-12-40,177239383,Бесплатные локации
2023-09-09-12-40,177239383,"В меню можете выбрать то, что вас интересует"
2023-09-09-12-40,644440906,/view_stat
2023-09-09-12-41,182632109,/view_stat
2023-09-09-12-42,163451534,/start
2023-09-09-12-42,163451534,"В меню можете выбрать то, что вас интересует"
2023-09-09-12-42,163451534,Показать все локации
2023-09-09-12-42,182632109,/start
2023-09-09-12-42,182632109,"В меню можете выбрать то, что вас интересует"
2023-09-09-12-42,182632109,"В меню можете выбрать то, что вас интересует"
2023-09-09-12-43,644440906,Бесплатные локации
2023-09-09-12-43,182632109,ℹ️ Информация о фестивале
2023-09-09-12-43,644440906,Бесплатные локации
2023-09-09-12-43,182632109,💚Художники
2023-09-09-12-43,182632109,Вернуться в главное меню
2023-09-09-12-43,182632109,📍Локации фестиваля
2023-09-09-12-43,182632109,Список локаций в 2ГИС
2023-09-09-12-43,644440906,/view_stat
2023-09-09-12-43,644440906,Вернуться в главное меню
2023-09-09-12-43,644440906,/view_stat
2023-09-09-12-44,644440906,💚Художники
2023-09-09-12-44,644440906,Tatsuru Arai
2023-09-09-12-44,644440906,Вернуться в главное меню
2023-09-09-12-44,644440906,/view_stat
2023-09-09-12-45,481130029,/start
2023-09-09-12-45,481130029,"В меню можете выбрать то, что вас интересует"
2023-09-09-12-45,644440906,/view_stat
2023-09-09-12-45,85164655,/start
2023-09-09-12-45,85164655,/start
2023-09-09-12-45,85164655,"В меню можете выбрать то, что вас интересует"
2023-09-09-12-46,644440906,⚡️Купить билеты
2023-09-09-12-46,644440906,❓F.A.Q.
